"player_name","event_name","heat_name","player_number","player_score","mu","sd"
"Adrian Buchan","2019/mct/2927/billabong-pipe-masters","round_570_heat_8",3,7.76,12.23,3.56
"Adrian Buchan","2014/mct/713/quiksilver-pro-france","round_145_heat_10",3,14.6,12.23,3.56
"Adrian Buchan","2013/mct/535/billabong-rio-pro","round_18_heat_7",2,14.93,12.23,3.56
"Adrian Buchan","2016/mct/1399/quiksilver-pro-gold-coast","round_261_heat_3",2,16.04,12.23,3.56
"Adrian Buchan","2015/mct/1281/hurley-pro-at-trestles","round_225_heat_2",3,15,12.23,3.56
"Adrian Buchan","2016/mct/1443/fiji-pro","round_293_heat_3",2,15.67,12.23,3.56
"Adrian Buchan","2018/mct/2774/tahiti-pro-teahupoo","round_475_heat_11",3,12.66,12.23,3.56
"Adrian Buchan","2016/mct/1399/quiksilver-pro-gold-coast","round_262_heat_3",2,4.63,12.23,3.56
"Adrian Buchan","2013/mct/535/billabong-rio-pro","round_17_heat_12",3,8.56,12.23,3.56
"Adrian Buchan","2017/mct/1935/hurley-pro-at-trestles","round_402_heat_8",2,14.6,12.23,3.56
"Adrian Buchan","2019/mct/2909/rip-curl-pro-bells-beach","round_516_heat_15",2,11.93,12.23,3.56
"Adrian Buchan","2017/mct/1900/corona-open-j-bay","round_385_heat_9",3,13.66,12.23,3.56
"Adrian Buchan","2016/mct/1484/billabong-pro-tahiti","round_311_heat_1",2,16.1,12.23,3.56
"Adrian Buchan","2017/mct/1854/oi-rio-pro","round_372_heat_3",3,15.67,12.23,3.56
"Adrian Buchan","2014/mct/674/j-bay-open","round_121_heat_4",3,11.33,12.23,3.56
"Adrian Buchan","2015/mct/1244/j-bay-open","round_211_heat_1",2,15.5,12.23,3.56
"Adrian Buchan","2018/mct/2747/corona-open-j-bay","round_468_heat_10",3,11.67,12.23,3.56
"Adrian Buchan","2018/mct/2714/corona-bali-protected","round_455_heat_4",2,9.9,12.23,3.56
"Adrian Buchan","2015/mct/1307/moche-rip-curl-pro-portugal","round_242_heat_10",2,9.43,12.23,3.56
"Adrian Buchan","2015/mct/1234/oi-rio-pro","round_194_heat_12",2,11.03,12.23,3.56
"Adrian Buchan","2017/mct/1900/corona-open-j-bay","round_386_heat_10",2,14,12.23,3.56
"Adrian Buchan","2013/mct/573/billabong-pro-teahupoo","round_48_heat_1",2,18.94,12.23,3.56
"Adrian Buchan","2021/mct/3624/boost-mobile-margaret-river-pro-presented-by-corona","round_22_heat_9",3,7.57,12.23,3.56
"Adrian Buchan","2014/mct/664/billabong-rio-pro","round_107_heat_11",2,11.9,12.23,3.56
"Adrian Buchan","2016/mct/1495/hurley-pro-at-trestles","round_313_heat_3",3,15.1,12.23,3.56
"Adrian Buchan","2015/mct/1307/moche-rip-curl-pro-portugal","round_241_heat_7",3,8.67,12.23,3.56
"Adrian Buchan","2013/mct/547/oakley-pro-bali","round_33_heat_9",3,15.17,12.23,3.56
"Adrian Buchan","2015/mct/1244/j-bay-open","round_212_heat_1",3,13.7,12.23,3.56
"Adrian Buchan","2015/mct/1317/billabong-pipe-masters","round_249_heat_1",3,9.33,12.23,3.56
"Adrian Buchan","2017/mct/1867/outerknown-fiji-pro","round_377_heat_11",3,12.33,12.23,3.56
"Adrian Buchan","2018/mct/2647/quiksilver-pro-gold-coast","round_437_heat_1",2,13.5,12.23,3.56
"Adrian Buchan","2018/mct/2825/meo-rip-curl-pro-portugal","round_489_heat_7",3,9.1,12.23,3.56
"Adrian Buchan","2015/mct/1222/rip-curl-pro-bells-beach","round_177_heat_7",3,12.2,12.23,3.56
"Adrian Buchan","2019/mct/2927/billabong-pipe-masters","round_572_heat_14",2,9.1,12.23,3.56
"Adrian Buchan","2014/mct/698/billabong-pro-tahiti","round_134_heat_1",2,19,12.23,3.56
