"event_name","heat_name","player_number","player_name","player_score"
"2013/mct/535/billabong-rio-pro","round_17_heat_2",3,"Matt Wilkinson",1.83
"2013/mct/535/billabong-rio-pro","round_17_heat_3",3,"Sebastian Zietz",15.66
"2013/mct/535/billabong-rio-pro","round_17_heat_3",3,"Ricardo dos Santos",8.93
"2013/mct/535/billabong-rio-pro","round_17_heat_3",3,"Taj Burrow",8.67
"2013/mct/535/billabong-rio-pro","round_17_heat_4",3,"Mick Fanning",13.2
"2013/mct/535/billabong-rio-pro","round_17_heat_4",3,"Filipe Toledo",8.27
"2013/mct/535/billabong-rio-pro","round_17_heat_4",3,"Jack Freestone",7.96
"2013/mct/535/billabong-rio-pro","round_17_heat_5",3,"Joel Parkinson",13.34
"2013/mct/535/billabong-rio-pro","round_17_heat_5",3,"Messias Felix",9.83
"2013/mct/535/billabong-rio-pro","round_17_heat_5",3,"Miguel Pupo",2.47
"2013/mct/535/billabong-rio-pro","round_17_heat_6",3,"Kelly Slater",16.3
"2013/mct/535/billabong-rio-pro","round_17_heat_6",3,"Kieren Perrow",4.63
"2013/mct/535/billabong-rio-pro","round_17_heat_6",3,"Gustavo Fernandes",4.23
"2013/mct/535/billabong-rio-pro","round_17_heat_7",3,"Glenn Hall",15
"2013/mct/535/billabong-rio-pro","round_17_heat_7",3,"Travis Logie",10
"2013/mct/535/billabong-rio-pro","round_17_heat_7",3,"Julian Wilson",1.46
"2013/mct/535/billabong-rio-pro","round_17_heat_8",3,"Gabriel Medina",18
"2013/mct/535/billabong-rio-pro","round_17_heat_8",3,"Dusty Payne",7.26
"2013/mct/535/billabong-rio-pro","round_17_heat_8",3,"Damien Hobgood",4.04
"2013/mct/535/billabong-rio-pro","round_17_heat_9",3,"Nat Young",11.46
"2013/mct/535/billabong-rio-pro","round_17_heat_9",3,"Raoni Monteiro",9.74
"2013/mct/535/billabong-rio-pro","round_17_heat_9",3,"Jeremy Flores",9.37
"2013/mct/535/billabong-rio-pro","round_17_heat_10",3,"Jordy Smith",16.94
"2013/mct/535/billabong-rio-pro","round_17_heat_10",3,"Adam Melling",12.44
"2013/mct/535/billabong-rio-pro","round_17_heat_10",3,"Kai Otton",5.53
"2013/mct/535/billabong-rio-pro","round_17_heat_11",3,"Bede Durbidge",11.27
"2013/mct/535/billabong-rio-pro","round_17_heat_11",3,"Michel Bourez",9.77
"2013/mct/535/billabong-rio-pro","round_17_heat_11",3,"Brett Simpson",9.27
"2013/mct/535/billabong-rio-pro","round_17_heat_12",3,"Kolohe Andino",12.43
"2013/mct/535/billabong-rio-pro","round_17_heat_12",3,"Adrian Buchan",8.56
"2013/mct/535/billabong-rio-pro","round_17_heat_12",3,"C.J. Hobgood",7.43
"2013/mct/535/billabong-rio-pro","round_18_heat_1",2,"Taj Burrow",11.34
"2013/mct/535/billabong-rio-pro","round_18_heat_1",2,"Gustavo Fernandes",10.7
"2013/mct/535/billabong-rio-pro","round_18_heat_2",2,"Josh Kerr",17.94
"2013/mct/535/billabong-rio-pro","round_18_heat_2",2,"Messias Felix",5.07
"2013/mct/535/billabong-rio-pro","round_18_heat_3",2,"Julian Wilson",13.56
"2013/mct/535/billabong-rio-pro","round_18_heat_3",2,"Jack Freestone",9.6
"2013/mct/535/billabong-rio-pro","round_18_heat_4",2,"Jeremy Flores",11.5
"2013/mct/535/billabong-rio-pro","round_18_heat_4",2,"Ricardo dos Santos",7.47
"2013/mct/535/billabong-rio-pro","round_18_heat_5",2,"Michel Bourez",10.16
"2013/mct/535/billabong-rio-pro","round_18_heat_5",2,"Yadin Nicol",8.67
"2013/mct/535/billabong-rio-pro","round_18_heat_6",2,"C.J. Hobgood",13.17
"2013/mct/535/billabong-rio-pro","round_18_heat_6",2,"Dusty Payne",8.1
"2013/mct/535/billabong-rio-pro","round_18_heat_7",2,"Adrian Buchan",14.93
"2013/mct/535/billabong-rio-pro","round_18_heat_7",2,"Raoni Monteiro",14.33
"2013/mct/535/billabong-rio-pro","round_18_heat_8",2,"Kai Otton",12.24
"2013/mct/535/billabong-rio-pro","round_18_heat_8",2,"Adam Melling",12.2
"2013/mct/535/billabong-rio-pro","round_18_heat_9",2,"Brett Simpson",15.1
"2013/mct/535/billabong-rio-pro","round_18_heat_9",2,"Damien Hobgood",15.04
"2013/mct/535/billabong-rio-pro","round_18_heat_10",2,"Travis Logie",11.4
"2013/mct/535/billabong-rio-pro","round_18_heat_10",2,"Kieren Perrow",10.76
"2013/mct/535/billabong-rio-pro","round_18_heat_11",2,"Miguel Pupo",12.23
"2013/mct/535/billabong-rio-pro","round_18_heat_11",2,"Alejo Muniz",10.5
"2013/mct/535/billabong-rio-pro","round_18_heat_12",2,"Filipe Toledo",10.7
